Órgão;Fornecedor;CNPJ;Objeto;Valor (R$);Modalidade;Contrato;Data de Assinatura;Vigência(Dias);Licitação
SUBPREFEITURA: CAMPO LIMPO;GRAMACON COM DE GRAMA E MATERIAIS DE CONSTR LTDA;65.723.520/0001-78;CONTRATAÇÃO DE EMPRESA PARA EXECUÇÃO DE SERVIÇOS DE REFORMA DA PRAÇA JOÃO TADEU PRIOLLI E ARREDORES, TOTALIZANDO 12.000 METROS QUADRADOS, SITUADA NO LARGO DO CAMPO LIMPO, SOB JURISDIÇÃO, DESTA SUBPREFEITURA;134.360,65;CONVITE EXTRATO DE CONTRATO;;11/12/2006;30;022/SP-CL/2006;
SUBPREFEITURA: CAMPO LIMPO;A TONANNI CONSTRUÇÕES E SERVIÇOS LTDA;50.583.954/0001-42;CONTRATAÇÃO DE EMPRESA PARA EXECUÇÃO DE SERVIÇOS DE REFORMA DA PRAÇA DO PARQUE ARARIBÁ E ARREDORES, TOTALIZANDO 8.000(oito mil) METROS QUADRADOS, SITUADA A RUA EURICO DE AZEVEDO MARQUES, SOB JURISDIÇÃO, DESTA SUBPREFEITURA;146.255,88;CONVITE EXTRATO DE CONTRATO;;9/12/2006;30;023/SP-CL/2006;
SUBPREFEITURA: CAMPO LIMPO;CONSTRUTORA ROY LTDA;43.898.972/0001-58;CONTRATAÇÃO DE EMPRESA PARA EXECUÇÃO DE OBRAS DE CONTENÇÃO DE TALUDE NA FAVELA VILA CAIZ II;126.293,18;CONVITE EXTRATO DE CONTRATO;;18/12/2006;60;021/SP-CL/2006;
SUBPREFEITURA: CASA VERDE - CACHOEIRINHA;LIMPADORA CALIFORNIA LTDA;61.514.618/0001-64;Contratação de empresa especializada para a prestação de serviços técnicos de limpeza geral, conservação ambiental, incluindo área externa, jardinagem e espelho d´ água, dedetização, desratização e descupinização, com aplicação de mão-de-obra qualificada, fornecimento de materiais, produtos de limpeza, higiene pessoal e equipamentos pertinentes à elaboração das tarefas nas dependências do Centro de Cidadania da Juventude, situado a Avenida Deputado Emílio Carlos, nº 3641.;371.760,00;PREGÃO EXTRATO DE CONTRATO;;22/3/2006;360;01/SPCV/2006;
SUBPREFEITURA: CASA VERDE - CACHOEIRINHA;GUARANI MATERIAL PARA CONSTRUÇÃO LTDA;45.817.467/0001-67;AQUISIÇÃO de 540 (quinhentos e quarenta) unidades de LAJES DE CONCRETO ARMADO para bocas de lobos, com resistência do concreto à compressão FCK &#8805 28 MPA em corpo de prova de 28 dias de idade, atendendo as normas ABNT 6118 e NBR 5739 nas dimensões de 110 cm x 70 cm x 7 cm, e ferragem composta de uma tela  de malhas quadradas de 15cm x 15 cm, com aço 10mm ? CA 50, com 1,5 cm de recobrimento na parte inferior da laje.;14.040,00;PREGÃO EXTRATO DE CONTRATO;;8/5/2005;30;03/SPCV/2006;
SUBPREFEITURA: CASA VERDE - CACHOEIRINHA;ERA TÉCNICA ENGENHARIA CONSTRUÇÕES E SERVIÇOS LTDA;65.035.222/0001-95;Contratação de empresa para prestação de serviços de conservação de áreas ajardinadas e poda e remoção de árvores, através de 01 (uma) equipe, pelo período de 03 (três) meses.;59.397,00;PREGÃO EXTRATO DE CONTRATO;;8/5/2006;90;05/SPCV/2006;
SUBPREFEITURA: CASA VERDE - CACHOEIRINHA;PORTAL EXPRESS TRANSPORTES RÁPIDOS LTDA ME;00.612.090/0001-71;Locação de motocicleta, com combustível e motorista, para prestação de serviço de malote a esta SP/CV, pelo período de 12 (doze) meses.;21.384,00;PREGÃO EXTRATO DE CONTRATO;;12/5/2006;360;06/SPCV/2006;
SUBPREFEITURA: CASA VERDE - CACHOEIRINHA;ERA TÉCNICA ENGENHARIA, CONSTRUÇÕES SERVIÇOS LTDA;65.035.222/0001-95;Contratação de empresa para prestação de serviços de conservação de áreas urbanizadas, ajardinadas, praguejadas em seu entorno (corte de mato), através de 02 (duas) equipes, pelo período de 03 (três) meses.;102.000,00;PREGÃO EXTRATO DE CONTRATO;;25/5/2006;90;08/SPCV/2006;
SUBPREFEITURA: CASA VERDE - CACHOEIRINHA;PLUSSPORT COMERCIAL LTDA;54.984.547/0001-06;Aquisição de 2100 (dois mil e cem) sacos de 50 kg. de Cimento Portland CP II;25.200,00;PREGÃO EXTRATO DE CONTRATO;;15/5/2006;240;11/SPCV/2006;
SUBPREFEITURA: CASA VERDE - CACHOEIRINHA;PLENA TERCEIRIZAÇÃO DE SERVIÇOS LTDA.;71.655.120/0001-75;Contratação de empresa para prestação de serviços de conservação de áreas urbanizadas, ajardinadas, praguejadas em seu entorno (corte de gramas), poda e remoção de árvores, em creches e escolas, através de 01 (uma) equipe, pelo período de 03 (três) meses.;48.837,00;PREGÃO EXTRATO DE CONTRATO;;12/6/2006;90;10/SPCV/2006;
SUBPREFEITURA: CASA VERDE - CACHOEIRINHA;NORTE SUL HIDROTECNOLOGIA E COMERCIO LTDA;38.980.710/0001-06;CONTRATAÇÃO DE SERVIÇOS DE ENGENHARIA PARA OPERAÇÃO DO SISTEMA DE PLANEJAMENTO E GESTÃO DAS AÇÕES ESTRATÉGICAS E DOS SERVIÇOS OPERACIONAIS DA SUBPREFEITURA DA CASA VERDE.;228.000,00;PREGÃO EXTRATO DE CONTRATO;;28/6/2006;360;12/SPCV/2006;
SUBPREFEITURA: CASA VERDE - CACHOEIRINHA;EMPRESA NACIONAL DE SEGURANÇA LTDA;50.364.645/0001-81;Contratação de serviços de Segurança e Vigilância Patrimonial desarmada, com instalação de sensores eletrônicos, sistema de CFTV com manutenção do sistema, monitoramento de alarme e imagens no Centro de Cidadania da Juventude, pertencente a esta SP-CV.;400.129,80;PREGÃO EXTRATO DE CONTRATO;;23/6/2006;150;14/SPCV/2006;
SUBPREFEITURA: CASA VERDE - CACHOEIRINHA;EMPRESA BRASILEIRA DE TELECOMUNICAÇÕES SA;33.530.486/0001-29;Contratação de serviços de gestão de telecomunicações na sede da Subprefeitura Casa Verde-Cachoeirinha, pelo período de 12 (doze) meses, de acordo com cláusula I do Edital.;77.220,00;PREGÃO EXTRATO DE CONTRATO;;11/7/2006;360;16/SPCV/2006;
SUBPREFEITURA: CASA VERDE - CACHOEIRINHA;: SERG PAULISTA CONSTRUÇÕES E SERVIÇOS TÉCNICOS LT;65.853.889/0001-03;Contratação de empresa para prestação de serviços para reforma da Praça JOÃO AZEVEDO BORGES.;78.319,59;CONVITE EXTRATO DE CONTRATO;;18/7/2006;90;03/SPCV/2006;
SUBPREFEITURA: CASA VERDE - CACHOEIRINHA;A. TONANNI CONSTRUÇÕES E SERVIÇOS LTDA;50.583.954/0001-42;CONTRATAÇÃO PARA EXECUÇÃO DE SERVIÇOS DE READEQUAÇÃO DE PISO INTERTRAVADO EM VIAS ESTRUTURAIS, COM O FORNECIMENTO DE MATERIAIS E MÃO-DE-OBRA, SOB JURISDIÇÃO DA SUBPREFEITURA DA CASA VERDE/ CACHOEIRINHA.;199.655,00;PREGÃO EXTRATO DE CONTRATO;;18/7/2006;60;20/SPCV/2006;
SUBPREFEITURA: CASA VERDE - CACHOEIRINHA;FLORESTANA PAISAGISMO CONSTRUÇÕES E  SERVIÇOS LTDA;53.591.103/0001-3 ;Execução de passeios (piso intertravado) em áreas públicas.;100.000,00;PREGÃO EXTRATO DE CONTRATO;;28/8/2006;60;23/SPCV/2006;
SUBPREFEITURA: CASA VERDE - CACHOEIRINHA;JOITA INDÚSTRIA E COMÉRCIO LTDA;48.827.950/0001-10;Contratação de empresa para execução de obra em área de risco à Rua Domiciano Ribeiro, altura do n° 179.;79.317,06;CONVITE EXTRATO DE CONTRATO;;29/9/2006;60;05/SPCV/2006;
SUBPREFEITURA: CASA VERDE - CACHOEIRINHA;JOITA INDÚSTRIA E COMÉRCIO LTDA;48.827.950/0001-10;Contratação de empresa para execução de obra em área de risco à Rua Dr. Araújo de Castro, altura do n° 09.;70.089,95;CONVITE EXTRATO DE CONTRATO;;28/9/2006;60;08/SPCV/2006;
SUBPREFEITURA: CASA VERDE - CACHOEIRINHA;TREVISO MÁQUINAS E OBRAS LTDA.;07.532.647/0001-03;Contratação de empresa especializada para prestação de serviços de manutenções corretivas e preventivas nas dependências da EMEF HUMBERTO DANTAS, situada à Rua Manoel Dias do Campo, 464 ?Coordenadoria de Educação da Freguesia/Brasilandia- SP-CV;92.769,13;CONVITE EXTRATO DE CONTRATO;;22/9/2006;30;02/SPCV/2006;
SUBPREFEITURA: CASA VERDE - CACHOEIRINHA;TREVISO MÁQUINAS E OBRAS LTDA;07.532.647/0001-03;Contratação de empresa para serviços de manutenção predial na Unidade Básica de Saúde (UBS) VILA SANTA MARIA, situada à Rua Professor Dário Ribeiro, 670 ? Casa Verde Alta.;44.472,02;CONVITE EXTRATO DE CONTRATO;;22/9/2006;60;04/SPCV/2006;
SUBPREFEITURA: CASA VERDE - CACHOEIRINHA;ERA TÉCNICA ENGENHARIA, CONSTRUÇÕES E SERVIÇOS LTD;65.035.222/0001-95;Prestação de Serviços Poda e remoção de árvores, através de 01 (uma) equipe, pelo período de 3 (três) meses, prorrogável nos termos da lei.;50.400,00;PREGÃO EXTRATO DE CONTRATO;;28/8/2006;90;24/SPCV/2006;
SUBPREFEITURA: CASA VERDE - CACHOEIRINHA;TREVISO MÁQUINAS E OBRAS LTDA;07.532.647/0001-03;Contratação de empresa para execução de obra em área de risco à  Rua São Leandro s/ n°, entre as Ruas Manoel Coelho e Agostinho Pereira.;61.872,87;CONVITE EXTRATO DE CONTRATO;;22/9/2006;60;09/SP-CV/CPL/2006;
SUBPREFEITURA: CASA VERDE - CACHOEIRINHA;JOITA INDÚSTRIA E COMÉRCIO LTDA;48.827.950/0001-10;Contratação de empresa para execução de obra em área de risco à Rua Capitão Ulisses, s/n° (lote 22- quadra 68).;66.806,04;CONVITE EXTRATO DE CONTRATO;;28/9/2006;30;11/SPCV/2006;
SUBPREFEITURA: CASA VERDE - CACHOEIRINHA;LECON ENGENHARIA E CONSTRUÇÃO LTDA.;08.053.419/0001-13;Contratação de empresa para execução de serviços de manutenção predial na Unidade Básica de Saúde Vila Dionísia, situada à Rua Chen Ferraz Falcão, 50 ? Vila Dionísia.;43.409,14;CONVITE EXTRATO DE CONTRATO;;5/10/2006;60;06/SPCV/2006;
SUBPREFEITURA: CASA VERDE - CACHOEIRINHA;CONEL CONSTRUÇÕES LTDA;05.246.623/0001-62;Contratação de empresa especializada para prestação de serviços de construção de salas para ampliação na EMEF Frederico Gustavo dos Santos ? Tenente Aviador, situada à Av. General Penha Brasil, 139 ? Vila Angélica.;101.725,11;CONVITE EXTRATO DE CONTRATO;;27/10/2006;90;14/SPCV/2006;
SUBPREFEITURA: CASA VERDE - CACHOEIRINHA;CONSEVEL LOCADORA DE VEÍCULOS E SERVIÇOS LTDA.;65.454.423/0001-27;Contratação de empresa especializada em prestação de serviço de transporte com veículos, incluindo motorista e combustível.;306.480,00;PREGÃO EXTRATO DE CONTRATO;;6/10/2006;360;29/SPCV/2006;
SUBPREFEITURA: CASA VERDE - CACHOEIRINHA;ASSOCIAÇÃO DOS PRESTADORES DE SERVIÇOS EM PISCINAS;07.304.908/0001-38;CONTRATAÇÃO DE SERVIÇO DE MONITORAMENTO AQUÁTICO, COM FORNECIMENTO DE EQUIPAMENTOS,  PARA O BALNEÁRIO GARCIA D´AVILA;30.330,00;PREGÃO EXTRATO DE CONTRATO;;29/9/2006;270;26/SPCV/2006;
SUBPREFEITURA: CASA VERDE - CACHOEIRINHA;JOFEGE PAVIMENTAÇÃO E CONSTRUÇÃO LTDA;62.162.847/0001-20;Contratação de empresa especializada para EXECUÇAO DOS SERVIÇOS DE IMPLANTAÇAO DE CICLOVIA E DEMAIS OBRAS COMPLEMENTARES AO LONGO DA AV. INAJAR DE SOUZA, INCLUSIVE PROJETO EXECUTIVO..;594.825,17;TOMADA DE PREÇOS EXTRATO DE CONTRATO;;22/11/2006;120;01/SPCV/CPL/2006;
SUBPREFEITURA: CASA VERDE - CACHOEIRINHA;CONEL CONSTRUÇÕES LTDA;05.246.623/0001-62;Contratação de empresa especializada para Execução de obras de reforma e ampliação de salas de aula na EMEI Vicente Paulo da Silva, situada à Rua Mendonça Júnior, 80 ? Vila dos Andradas.;104.473,64;CONVITE EXTRATO DE CONTRATO;;23/11/2006;60;12/SPCV/2006;
SUBPREFEITURA: CASA VERDE - CACHOEIRINHA;CONEL CONSTRUÇÕES LTDA.;05.246.623/0001-62;Contratação de empresa especializada para Execução de obras de reforma e ampliação de salas de aula na EMEI Brigadeiro Eduardo Gomes, situada à Rua Santa Eudóxia, 800 ? Parque Peruche.;103.556,22;CONVITE EXTRATO DE CONTRATO;;23/11/2006;60;13/SPCV/2006;
SUBPREFEITURA: CASA VERDE - CACHOEIRINHA;REESTRUTURA RECUIPERAÇÕES E CONSTRUÇÕES LTDA.;58.019.340/0001-44;Contratação de empresa especializada para execução de reforma na CEI Casa Verde, situada à Rua Jaguaretê, 212 ? Casa Verde.;61.061,05;CONVITE EXTRATO DE CONTRATO;;1/12/2006;60;16/SPCV/2006;
SUBPREFEITURA: CASA VERDE - CACHOEIRINHA;REESTRUTURA RECUIPERAÇÕES E CONSTRUÇÕES LTDA.;58.019.340/0001-44;Contratação de empresa especializada para prestação de serviços de construção de duas salas para ampliação na EMEF Marcílio Dias, situada à Rua Ribeiro Junqueira, n° 259 ? Vila Roque, São Paulo/SP.;69.402,99;CONVITE EXTRATO DE CONTRATO;;8/12/2006;60;17/SPCV/2006;
SUBPREFEITURA: ERMELINO MATARAZZO;Consitec Construções e Telecomunicações Ltda;02.243.019/0001-94;Contrataçao de serviços tecnicos de levantamento batimetrico nos corregos Ponte Rasa e Mongagua e serviços complementares (levantamento plani-altimetrico cadastral).;75.641,65;CONVITE EXTRATO DE CONTRATO;;22/12/2005;60;008;
SUBPREFEITURA: ERMELINO MATARAZZO;SS Silveira $ Silveira Comercial Ltda EPP;03.720.691/0001-96;Fornecimento de material de escritório e limpeza.;3.091,60;PREGÃO EXTRATO DE CONTRATO;;20/12/2005;60;018;
SUBPREFEITURA: ERMELINO MATARAZZO;CONSITEC CONSTRUÇÕES E TELECOMUNICAÇÕES LTDA;02.243.019/0001-94;Contratação de empresa para execução de serviços e obras de manutenção em àreas de risco.;146.042,77;CONVITE EXTRATO DE CONTRATO;;7/12/2006;60;015;
SUBPREFEITURA: ERMELINO MATARAZZO;Patricia Raia Lupion Moveis  - EPP;03.727.357/0001-64;Aquisição de Mobiliario;49.267,00;PREGÃO EXTRATO DE CONTRATO;;27/12/2005;360;019;
SUBPREFEITURA: ERMELINO MATARAZZO;Construtora e Pavimentadora Montreal Ltda;43.231.190/0001-60;CONTRATAÇÃO DE EMPRESA PARA EXECUÇÃO DE SERVIÇOS E OBRAS EM AREA DE RISCO NO CORREGO PONTE RASA ? RUA MARANGONE, no trecho da rua Marangone (final da rua) até o muro de pedra existente, em área sob a administração da Subprefeitura Ermelino Matarazzo.;117.865,54;CONVITE EXTRATO DE CONTRATO;;18/5/2006;60;003;
SUBPREFEITURA: ERMELINO MATARAZZO;Potencial Construções e Serviços Ltda;03.785.059/0001-20;CONTRATAÇÃO DE EMPRESA PARA EXECUÇÃO DE SERVIÇOS E OBRAS EM AREA DE RISCO NO CORREGO PONTE RASA ? RUA SIMPLICIO DE SÁ, trecho entre as ruas Itamarati de Minas e Rafael Frederico, em área sob a administração da Subprefeitura Ermelino Matarazzo.;112.449,84;CONVITE EXTRATO DE CONTRATO;;18/5/2006;60;004;
SUBPREFEITURA: ERMELINO MATARAZZO;Construtora Roy Ltda;43.898.972/0001-58;CONTRATAÇÃO DE EMPRESA PARA EXECUÇÃO DE SERVIÇOS E DE MANUTENÇÃO PREDIAL DA EMEF WANNY SALGADO ROCHA - CONSTRUÇÃO DE QUADRA POLIESPORTIVA E COBERTURA PARA INTERLIGAÇÃO DOS PRÉDIOS EXISTENTES, sita à Rua Silvio Ribeiro dos Santos, 104 ? Vila União.;145.100,43;CONVITE EXTRATO DE CONTRATO;;29/5/2006;60;005;
SUBPREFEITURA: ERMELINO MATARAZZO;E E C Engenharia e Construções Ltda;02.811.333/0001-26;CONTRATAÇÃO DE EMPRESA PARA EXECUÇÃO DE SERVIÇOS E DE MANUTENÇÃO PREDIAL DA UBS DR MATHEUS SANTA MARIA, sita à Rua Ilha de Castilho, 31 ? Ermelino Matarazzo.;72.549,69;CONVITE EXTRATO DE CONTRATO;;24/5/2006;60;006;
SUBPREFEITURA: ERMELINO MATARAZZO;LOGIC ENGENHARIA E CONSTRUÇÃO LTDA;73.188.336/0001-01;Contrataçao de empresa para execuçao de serviços e de manutençao predial da Supervisão de Vigilancia e Saude - Reforma Geral;138.065,47;CONVITE EXTRATO DE CONTRATO;;20/6/2006;60;007;
SUBPREFEITURA: ERMELINO MATARAZZO;HEBROM CONSTRUÇÕES LTDA;04.941.945/0001-69;CONTRATAÇÃO DE EMPRESA PARA EXECUÇÃO DE SERVIÇOS DE MANUTENÇÃO PREDIAL E PEQUENAS REFORMAS PARA IMPLANTAÇÃO DE TELECENTRO DESTINADO AO ATENDIMENTO DE PESSOAS PORTADORAS DE DEFICIÊNCIA FÍSICA ? ACDEM ? CHÁCARA DOM PAULO EVARISTO ARNS.;48.228,63;CONVITE EXTRATO DE CONTRATO;;19/6/2006;60;008 2006;
SUBPREFEITURA: ERMELINO MATARAZZO;E E C ENGENHARIA E CONSTRUÇÕES LTDA;02.811.333/0001-26;CONTRATAÇÃO DE EMPRESA PARA EXECUÇÃO DE SERVIÇOS E DE MANUTENÇÃO PREDIAL DA EMEF JOAO FRANZOLIN NETO - REFORMA DE PISO;46.971,27;CONVITE EXTRATO DE CONTRATO;;29/6/2006;60;009;
SUBPREFEITURA: ERMELINO MATARAZZO;A. Tonanni Construções e Serviços Ltda;50.583.954/0001-42;Readequação de piso intertravado em próprios municipais;218.442,93;TOMADA DE PREÇOS EXTRATO DE CONTRATO;;23/8/2006;30;002;
SUBPREFEITURA: ERMELINO MATARAZZO;Hebrom Construções Ltda;04.941.945/0001-69;Reforma predial para adequação de espaço pra implantação de sala ondontológica;38.831,20;CONVITE EXTRATO DE CONTRATO;;7/8/2006;60;011;
SUBPREFEITURA: ERMELINO MATARAZZO;Construtora e Pavimentadora Montreal Ltda;43.231.190/0001-60;CONTRATAÇÃO DE EMPRESA PARA EXECUÇÃO DE SERVIÇOS E OBRAS DE MANUTENÇÃO PREDIAL NA EMEF LUIZ WASHINGTON VITA ? REFORMA E ADAPTAÇÃO DE NOVA MINI-QUADRA POLIESPORTIVA;39.347,80;CONVITE EXTRATO DE CONTRATO;;27/10/2006;60;012;
SUBPREFEITURA: ERMELINO MATARAZZO;A TONANNI CONSTRUCOES E SERVICOS LTDA;50.583.954/0001-42;Obras de Construção da Praça Romão Gomes Portão;122.236,33;CONVITE EXTRATO DE CONTRATO;;20/10/2006;60;013;
SUBPREFEITURA: ERMELINO MATARAZZO;TEMAFE ENGENHARIA E CONSTRUCOES LTDA;49.335.714/0001-40;CONSTRUÇÃO DE MURO DE RETENÇÃO NA MARGEM DO CÓRREGO PONTE RASA.;43.129,82;CONVITE EXTRATO DE CONTRATO;;6/12/2006;60;014;
SUBPREFEITURA: ERMELINO MATARAZZO;FERTRACTOR TRATORPEÇAS LTDA-EPP;05.844.213/0001-13;PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO DE MÁQUINAS E EQUIPAMENTOS.;32.900,00;PREGÃO EXTRATO DE CONTRATO;;21/12/2006;60;001;
SUBPREFEITURA: ERMELINO MATARAZZO;Golden Distribuidora Ltda;04.196.935/0002-27;Aquisição de tonner e cartuchos;16.961,00;PREGÃO EXTRATO DE CONTRATO;;18/12/2006;5;002;
SUBPREFEITURA: ERMELINO MATARAZZO;Potencial Construções e Serviços Ltda;03.785.059/0001-20;CONSTRUÇÃO E ADEQUAÇÃO DE 02 (DUAS) SALAS DE AULA  E SANITÁRIOS MASCULINO/FEMININO;132.334,32;CONVITE EXTRATO DE CONTRATO;;21/12/2006;60;016;
SUBPREFEITURA: VILA MARIA/VILA GUILHERME;IBEC ENGENHARIA LTDA.;04.556.242/0001-17;Contratação para Execução de REURBANIZAÇÃO DE PRAÇA MIKADO ? PROJETO PRAÇA VIVA, situada em área sob jurisdição da Subprefeitura de Vila Maria / Vila Guilherme (SP ? MG).;83.898,00;CONVITE EXTRATO DE CONTRATO;;13/12/2005;20;18/2005;
EDUCAÇÃO;MARCOS ROSA CARVALHO-ME;01.051.223/0001-40;ÁGUA MINERAL;67.728,00;PREGÃO EXTRATO DE CONTRATO;;26/6/2006;180;01/2006;
NEGÓCIOS JURÍDICOS;COOPERMUND;05.449.253/0001-60;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE TRANSPORTE COM VEÍCULOS, MOTORISTA, COMBUSTÍVEL E QUILOMETRAGEM LIVRE.;85.990,00;PREGÃO EXTRATO DE CONTRATO;;4/8/2006;360;001/2006;
NEGÓCIOS JURÍDICOS;SIMPRESS COMÉRCIO, LOCAÇÃO E SERVIÇOS LTDA.;07.432.517/0001-07;Locação de equipamentos reprográficos para os Departamentos Patrimonial, de Desapropriações e de Procedimentos Disciplinares, da PGM, conforme especificações técnicas (Anexo I do edital);3.499,00;PREGÃO EXTRATO DE CONTRATO;;22/2/2006;360;01/PGM/06;
